date,military_spending
12/31/60,47.34655267
12/31/61,49.87977061
12/31/62,54.65094261
12/31/63,54.56121578
12/31/64,53.43232706
12/31/65,54.56179126
12/31/66,66.44275153
12/31/67,78.39844224
12/31/68,84.32903122
12/31/69,84.99016543
12/31/70,83.407993
12/31/71,78.23797989
12/31/72,80.70807097
12/31/73,81.46979441
12/31/74,89.27892034
12/31/75,92.08092875
12/31/76,94.71525108
12/31/77,104.665219
12/31/78,113.3820637
12/31/79,126.8799271
12/31/80,143.6883549
12/31/81,176.5588753
12/31/82,221.6735426
12/31/83,223.427165
12/31/84,245.1491683
12/31/85,272.1632293
12/31/86,295.5462238
12/31/87,304.0866487
12/31/88,309.6612693
12/31/89,321.8665588
12/31/90,325.129314
12/31/91,299.3727791
12/31/92,325.033736
12/31/93,316.7194437
12/31/94,308.084
12/31/95,295.8530977
12/31/96,287.9606687
12/31/97,293.1678258
12/31/98,290.9960551
12/31/99,298.0948913
12/31/00,320.0863242
12/31/01,331.8056106
12/31/02,378.4631388
12/31/03,440.5320696
12/31/04,492.9993762
12/31/05,533.203
12/31/06,558.335
12/31/07,589.586
12/31/08,656.756
12/31/09,705.917
12/31/10,738.005
12/31/11,752.288
12/31/12,725.205
12/31/13,679.229
12/31/14,647.789
12/31/15,633.829639
12/31/16,639.856443
12/31/17,646.752927
12/31/18,682.4914
12/31/19,734.3441
12/31/20,778.3972
12/31/21,800.6722