Quarter,Consumer Price Index,UNRATE,Personal Savings,Inflation Rate,GDP,Personal Consumption Expenditures,Gross Savings,Gross saving as a percentage of gross national income,Gross domestic investment,Net saving as a percentage of gross national income,FEDFUNDS,Military Spending
1986-09-30,109.8,6.966666666666666,279.49,1.6666666666666667,4607.669,2917.2,838.9,18.5,1081.5,3.3,6.206666666666666,73.88655595
1986-12-31,110.39999999999999,6.833333333333333,262.722,1.3,4657.627,2952.8,852.9,18.6,1085.3,3.3,6.266666666666667,73.88655595
1987-03-31,111.63333333333333,6.599999999999999,290.04,2.1999999999999997,4722.156,2983.5,898.2,19.2,1118.8,4.0,6.22,76.021662175
1987-06-30,113.10000000000001,6.266666666666667,216.931,3.7999999999999994,4806.16,3053.3,926.9,19.4,1128.0,4.3,6.6499999999999995,76.021662175
1987-09-30,114.39999999999999,6.0,244.481,4.2,4884.555,3117.4,961.4,19.7,1134.8,4.6,6.843333333333334,76.021662175
1987-12-31,115.36666666666667,5.833333333333333,290.912,4.466666666666667,5007.994,3150.9,1010.0,20.2,1205.6,5.2,6.916666666666667,76.021662175
1988-03-31,116.06666666666666,5.7,295.581,3.9333333333333336,5073.372,3231.9,1030.0,20.2,1162.1,5.2,6.663333333333334,77.415317325
1988-06-30,117.53333333333335,5.466666666666666,316.197,3.9333333333333336,5190.036,3291.7,1069.2,20.6,1192.7,5.6,7.156666666666666,77.415317325
1988-09-30,119.10000000000001,5.466666666666666,328.473,4.1000000000000005,5282.835,3361.9,1096.4,20.7,1200.1,5.7,7.983333333333333,77.415317325
1988-12-31,120.33333333333333,5.333333333333333,328.187,4.266666666666667,5399.509,3434.5,1111.7,20.5,1226.5,5.6,8.47,77.415317325
1989-03-31,121.66666666666667,5.2,354.567,4.833333333333333,5511.253,3490.2,1145.2,20.8,1269.3,5.9,9.443333333333333,80.4666397
1989-06-30,123.66666666666667,5.233333333333333,327.405,5.233333333333333,5612.463,3553.8,1104.8,19.9,1268.3,4.9,9.726666666666667,80.4666397
1989-09-30,124.66666666666667,5.233333333333333,320.011,4.666666666666667,5695.365,3609.4,1100.7,19.5,1271.5,4.5,9.083333333333334,80.4666397
1989-12-31,125.86666666666667,5.366666666666667,339.675,4.6,5747.237,3653.7,1089.1,19.2,1271.5,4.1,8.613333333333333,80.4666397
1990-03-31,128.03333333333333,5.3,348.433,5.233333333333333,5872.701,3737.9,1102.8,19.0,1297.7,4.0,8.25,81.2823285
1990-06-30,129.33333333333334,5.333333333333333,372.279,4.6000000000000005,5960.028,3783.4,1135.0,19.2,1303.0,4.3,8.243333333333332,81.2823285
1990-09-30,131.56666666666666,5.7,361.095,5.533333333333332,6015.116,3846.7,1105.9,18.6,1292.4,3.6,8.16,81.2823285
1990-12-31,133.70000000000002,6.133333333333333,360.718,6.233333333333333,6004.733,3867.9,1110.6,18.6,1242.2,3.4,7.743333333333332,81.2823285
1991-03-31,134.79999999999998,6.6000000000000005,388.742,5.3,6035.178,3873.6,1200.2,20.0,1215.7,4.7,6.426666666666667,74.843194775
1991-06-30,135.6,6.833333333333333,391.179,4.866666666666667,6126.862,3926.9,1145.0,18.9,1222.6,3.6,5.863333333333333,74.843194775
1991-09-30,136.66666666666666,6.866666666666667,391.586,3.8666666666666667,6205.937,3973.3,1122.7,18.3,1243.5,3.0,5.6433333333333335,74.843194775
1991-12-31,137.70000000000002,7.1000000000000005,432.346,3.0,6264.54,4000.0,1146.6,18.5,1272.0,3.3,4.816666666666666,74.843194775
1992-03-31,138.66666666666666,7.366666666666667,453.285,2.866666666666667,6363.102,4100.4,1156.1,18.3,1256.3,3.3,4.023333333333333,81.258434
1992-06-30,139.79999999999998,7.6000000000000005,472.911,3.1,6470.763,4155.7,1175.4,18.3,1310.2,3.4,3.7699999999999996,81.258434
1992-09-30,140.9,7.633333333333333,447.506,3.1,6566.641,4227.0,1126.0,17.4,1318.3,2.5,3.2566666666666664,81.258434
1992-12-31,141.9,7.366666666666667,428.287,3.033333333333333,6680.803,4307.2,1134.7,17.3,1351.7,2.4,3.0366666666666666,81.258434
1993-03-31,143.1,7.133333333333333,430.371,3.1999999999999997,6729.459,4349.5,1131.5,17.2,1372.3,2.2,3.0399999999999996,79.179860925
1993-06-30,144.20000000000002,7.066666666666666,409.397,3.1333333333333333,6808.939,4418.6,1168.5,17.5,1387.7,2.6,3.0,79.179860925
1993-09-30,144.76666666666668,6.8,367.083,2.766666666666667,6882.098,4487.2,1144.1,16.9,1386.5,2.0,3.06,79.179860925
1993-12-31,145.76666666666668,6.633333333333333,363.501,2.733333333333333,7013.738,4552.7,1211.5,17.5,1448.3,2.7,2.99,79.179860925
1994-03-31,146.7,6.566666666666666,344.59,2.5,7115.652,4621.2,1233.0,17.7,1485.4,2.9,3.2133333333333334,77.021
1994-06-30,147.63333333333333,6.2,358.4,2.4,7246.931,4683.2,1297.3,18.2,1555.2,3.5,3.94,77.021
1994-09-30,148.9333333333333,6.0,351.081,2.9,7331.075,4752.8,1306.9,18.1,1553.8,3.4,4.486666666666667,77.021
1994-12-31,149.63333333333333,5.633333333333333,374.72,2.6666666666666665,7455.288,4826.7,1346.1,18.3,1608.2,3.6,5.166666666666667,77.021
1995-03-31,150.86666666666667,5.466666666666666,406.929,2.8666666666666667,7522.289,4862.4,1395.0,18.8,1634.6,4.0,5.81,73.963274425
1995-06-30,152.20000000000002,5.666666666666667,372.33,3.1,7580.997,4933.6,1395.0,18.6,1614.4,3.7,6.02,73.963274425
1995-09-30,152.86666666666665,5.666666666666667,373.393,2.6333333333333333,7683.125,4998.7,1437.9,18.8,1610.4,4.0,5.796666666666667,73.963274425
1995-12-31,153.6,5.566666666666666,363.505,2.6333333333333333,7772.586,5055.7,1480.8,19.2,1641.4,4.4,5.72,73.963274425
1996-03-31,155.0,5.533333333333334,371.232,2.733333333333333,7868.468,5130.6,1521.0,19.4,1672.2,4.7,5.363333333333333,71.990167175
1996-06-30,156.53333333333333,5.5,366.585,2.8666666666666667,8032.84,5220.5,1561.2,19.5,1736.1,4.9,5.243333333333333,71.990167175
1996-09-30,157.36666666666667,5.266666666666667,377.336,2.966666666666667,8131.408,5274.5,1597.2,19.7,1795.4,5.1,5.306666666666667,71.990167175
1996-12-31,158.5,5.333333333333333,364.602,3.1999999999999997,8259.771,5352.8,1640.4,19.9,1804.4,5.4,5.28,71.990167175
1997-03-31,159.56666666666666,5.233333333333333,361.954,2.9333333333333336,8362.655,5433.1,1697.0,20.3,1841.7,5.8,5.276666666666666,73.29195645
1997-06-30,160.2,5.0,384.605,2.3333333333333335,8518.825,5471.3,1768.3,20.8,1914.2,6.3,5.523333333333333,73.29195645
1997-09-30,160.83333333333334,4.866666666666667,359.471,2.2,8662.823,5579.2,1820.1,21.0,1956.7,6.6,5.533333333333334,73.29195645
1997-12-31,161.46666666666667,4.666666666666667,381.029,1.866666666666667,8765.907,5663.6,1842.0,20.9,1976.2,6.5,5.506666666666667,73.29195645
1998-03-31,161.9,4.633333333333333,451.659,1.4666666666666668,8866.48,5721.3,1906.6,21.4,2043.6,7.0,5.52,72.749013775
1998-06-30,162.76666666666668,4.3999999999999995,435.52,1.5999999999999999,8969.699,5832.6,1917.6,21.1,2036.8,6.8,5.5,72.749013775
1998-09-30,163.4,4.533333333333333,423.314,1.5999999999999999,9121.097,5926.8,1960.9,21.3,2095.8,7.0,5.533333333333334,72.749013775
1998-12-31,163.96666666666667,4.433333333333334,387.857,1.5333333333333332,9293.991,6028.2,1941.9,20.8,2146.5,6.5,4.86,72.749013775
1999-03-31,164.6,4.3,400.568,1.6666666666666667,9411.682,6102.0,2050.3,21.6,2210.1,7.3,4.733333333333333,74.523722825
1999-06-30,166.2,4.266666666666667,304.702,2.1333333333333333,9526.21,6230.6,1990.3,20.7,2210.9,6.3,4.746666666666667,74.523722825
1999-09-30,167.23333333333332,4.233333333333333,282.767,2.3333333333333335,9686.626,6335.3,1979.6,20.4,2263.8,5.9,5.093333333333334,74.523722825
1999-12-31,168.26666666666668,4.066666666666666,275.235,2.6333333333333333,9900.169,6467.0,2012.7,20.3,2337.4,5.7,5.306666666666667,74.523722825
2000-03-31,169.93333333333334,4.033333333333333,296.727,3.233333333333333,10002.179,6618.2,2123.2,20.8,2339.8,6.3,5.676666666666667,80.02158105
2000-06-30,171.73333333333335,3.9333333333333336,315.106,3.3333333333333335,10247.72,6711.9,2121.7,20.6,2461.6,6.0,6.273333333333333,80.02158105
2000-09-30,173.1,4.0,336.306,3.533333333333333,10318.165,6820.0,2153.6,20.6,2446.2,6.0,6.52,80.02158105
2000-12-31,174.03333333333333,3.9,319.143,3.4,10435.744,6918.6,2106.1,20.0,2461.5,5.4,6.473333333333334,80.02158105
2001-03-31,175.69999999999996,4.233333333333333,358.495,3.3666666666666667,10470.231,6995.3,2157.7,20.1,2372.2,5.5,5.593333333333334,82.95140265
2001-06-30,177.53333333333333,4.3999999999999995,341.631,3.366666666666667,10599.0,7042.3,2146.0,19.9,2392.0,5.1,4.326666666666667,82.95140265
2001-09-30,177.76666666666665,4.833333333333333,494.442,2.6666666666666665,10598.02,7070.3,2056.9,19.1,2348.4,4.1,3.4966666666666666,82.95140265
2001-12-31,177.26666666666665,5.5,258.046,1.8666666666666665,10660.465,7187.3,1927.5,17.9,2274.3,2.8,2.1333333333333333,82.95140265
2002-03-31,177.9,5.7,436.958,1.2333333333333334,10783.5,7217.7,1986.2,18.3,2347.4,3.2,1.7333333333333334,94.6157847
2002-06-30,179.83333333333334,5.833333333333333,474.767,1.3,10887.46,7308.0,1995.2,18.1,2371.7,3.1,1.75,94.6157847
2002-09-30,180.6,5.733333333333333,441.534,1.5999999999999999,10984.04,7397.1,1986.3,17.9,2380.3,2.9,1.74,94.6157847
2002-12-31,181.16666666666666,5.866666666666667,453.135,2.1999999999999997,11061.433,7473.0,2033.6,18.1,2397.0,3.1,1.4433333333333334,94.6157847
2003-03-31,183.0,5.866666666666667,425.661,2.8666666666666667,11174.129,7567.2,1942.6,17.2,2417.3,2.2,1.25,110.1330174
2003-06-30,183.66666666666666,6.133333333333333,430.175,2.1333333333333333,11312.766,7661.5,1968.9,17.2,2430.7,2.3,1.2466666666666668,110.1330174
2003-09-30,184.5666666666667,6.133333333333333,469.914,2.2,11566.669,7820.9,1985.5,17.1,2513.4,2.2,1.0166666666666666,110.1330174
2003-12-31,184.6,5.833333333333333,433.82,1.8999999999999997,11772.234,7913.5,2054.4,17.4,2603.7,2.6,0.9966666666666667,110.1330174
2004-03-31,186.26666666666665,5.7,402.134,1.7666666666666666,11923.447,8048.8,2072.0,17.2,2628.4,2.5,1.0033333333333332,123.24984405
2004-06-30,188.9333333333333,5.599999999999999,447.439,2.9,12112.815,8147.1,2157.0,17.6,2745.9,2.9,1.01,123.24984405
2004-09-30,189.6,5.433333333333334,405.659,2.733333333333333,12305.307,8283.3,2229.8,17.9,2808.4,3.2,1.4333333333333333,123.24984405
2004-12-31,190.73333333333335,5.433333333333334,412.97,3.3333333333333335,12527.214,8448.6,2172.3,17.2,2887.2,2.4,1.95,123.24984405
2005-03-31,191.9333333333333,5.3,229.277,3.033333333333333,12767.286,8551.7,2281.7,17.8,2987.6,2.9,2.47,133.30075
2005-06-30,194.5,5.1000000000000005,206.96,2.9333333333333336,12922.656,8701.1,2306.6,17.7,2986.7,2.7,2.9433333333333334,133.30075
2005-09-30,196.86666666666667,4.966666666666667,167.231,3.8333333333333335,13142.642,8868.1,2331.7,17.6,3048.4,2.6,3.4599999999999995,133.30075
2005-12-31,197.86666666666665,4.966666666666667,233.243,3.733333333333333,13324.204,8955.3,2495.4,18.4,3169.3,3.4,3.98,133.30075
2006-03-31,198.9333333333333,4.733333333333333,309.871,3.6666666666666665,13599.16,9100.2,2644.4,19.1,3249.4,4.1,4.456666666666667,139.58375
2006-06-30,202.29999999999998,4.633333333333333,293.767,4.0,13753.424,9227.6,2652.0,18.9,3261.1,3.9,4.906666666666667,139.58375
2006-09-30,203.4333333333333,4.633333333333334,241.897,3.3333333333333335,13870.188,9353.8,2638.5,18.6,3259.5,3.5,5.246666666666667,139.58375
2006-12-31,201.70000000000002,4.433333333333334,258.266,1.9333333333333333,14039.56,9427.4,2634.4,18.5,3237.4,3.2,5.246666666666667,139.58375
2007-03-31,203.76666666666665,4.5,279.493,2.433333333333333,14215.651,9572.1,2559.4,17.8,3238.6,2.4,5.256666666666667,147.3965
2007-06-30,207.66666666666666,4.5,296.279,2.6666666666666665,14402.082,9678.7,2619.5,18.0,3288.9,2.6,5.25,147.3965
2007-09-30,208.23333333333335,4.666666666666667,249.832,2.4,14564.117,9798.4,2474.0,17.0,3281.9,1.4,5.073333333333333,147.3965
2007-12-31,209.70000000000002,4.8,228.09,3.9666666666666663,14715.058,9937.1,2394.7,16.3,3250.8,0.7,4.496666666666667,147.3965
2008-03-31,212.1,5.0,300.736,4.1000000000000005,14706.538,10004.4,2307.3,15.7,3175.3,-0.1,3.1766666666666663,164.189
2008-06-30,216.73333333333335,5.333333333333333,512.392,4.366666666666666,14865.701,10129.9,2189.1,14.8,3168.2,-1.1,2.0866666666666664,164.189
2008-09-30,219.27766666666665,6.0,386.32,5.3,14898.999,10159.1,2229.0,15.0,3136.0,-1.0,1.9400000000000002,164.189
2008-12-31,213.07533333333336,6.866666666666667,606.447,1.6333333333333335,14608.209,9906.9,2121.7,14.6,2949.3,-1.9,0.5066666666666667,164.189
2009-03-31,212.01500000000001,8.266666666666667,616.407,-0.06666666666666667,14430.902,9815.0,1983.4,13.9,2654.9,-2.8,0.18333333333333335,176.47925
2009-06-30,214.263,9.299999999999999,743.161,-1.1333333333333333,14381.236,9805.5,1962.8,13.7,2510.2,-2.8,0.18000000000000002,176.47925
2009-09-30,215.718,9.633333333333333,552.529,-1.6333333333333335,14448.882,9939.4,1934.5,13.4,2486.4,-2.9,0.15666666666666665,176.47925
2009-12-31,216.15200000000002,9.933333333333334,587.654,1.4333333333333336,14651.249,10005.0,2110.3,14.4,2638.8,-1.8,0.12,176.47925
2010-03-31,217.01966666666667,9.833333333333334,601.846,2.3333333333333335,14764.61,10101.8,2137.7,14.4,2671.3,-1.6,0.13333333333333333,184.50125
2010-06-30,218.05066666666667,9.633333333333333,702.739,1.7666666666666668,14980.193,10208.1,2238.2,14.8,2796.8,-1.0,0.19333333333333336,184.50125
2010-09-30,218.254,9.466666666666667,696.731,1.1333333333333333,15141.607,10300.8,2407.8,15.7,2885.9,0.1,0.18666666666666668,184.50125
2010-12-31,218.89766666666665,9.5,684.383,1.2666666666666666,15309.474,10430.3,2419.3,15.6,2885.8,0.0,0.18666666666666668,184.50125
2011-03-31,221.66633333333334,9.033333333333333,773.709,2.1333333333333333,15351.448,10558.2,2376.2,15.2,2845.3,-0.4,0.15666666666666668,188.072
2011-06-30,225.53066666666666,9.066666666666666,749.284,3.466666666666667,15557.539,10673.0,2471.2,15.6,2933.6,0.0,0.09333333333333334,188.072
2011-09-30,226.452,9.0,785.916,3.766666666666667,15647.68,10755.0,2574.2,16.1,2958.0,0.5,0.08333333333333333,188.072
2011-12-31,226.10766666666666,8.633333333333333,796.225,3.3000000000000003,15842.259,10809.2,2711.0,16.8,3139.8,1.3,0.07333333333333335,188.072
2012-03-31,227.90333333333334,8.266666666666667,909.651,2.8333333333333335,16068.805,10959.3,2933.4,17.8,3194.6,2.4,0.10333333333333333,181.30125
2012-06-30,229.79266666666663,8.2,974.069,1.9000000000000001,16207.115,11005.1,2990.8,18.0,3264.0,2.6,0.15333333333333335,181.30125
2012-09-30,230.29666666666665,8.033333333333333,859.91,1.7,16319.541,11059.4,2875.4,17.4,3263.5,1.7,0.14333333333333334,181.30125
2012-12-31,230.37966666666668,7.8,1162.472,1.9000000000000001,16420.419,11165.7,3090.2,18.3,3249.0,2.8,0.16,181.30125
2013-03-31,231.7396666666667,7.733333333333333,590.013,1.7,16648.189,11277.7,3027.8,17.9,3345.7,2.3,0.14333333333333334,169.80725
2013-06-30,232.99333333333334,7.533333333333334,650.812,1.4333333333333333,16728.687,11315.7,3123.1,18.3,3379.8,2.7,0.11666666666666665,169.80725
2013-09-30,233.87400000000002,7.233333333333333,652.167,1.5666666666666667,16953.838,11408.4,3137.5,18.3,3496.8,2.6,0.08333333333333333,169.80725
2013-12-31,233.22133333333332,6.933333333333334,569.795,1.2333333333333334,17192.019,11551.2,3186.6,18.3,3538.3,2.6,0.08666666666666667,169.80725
2014-03-31,234.99666666666667,6.666666666666667,667.866,1.4000000000000001,17197.738,11646.0,3258.4,18.6,3514.4,2.8,0.07333333333333335,161.94725
2014-06-30,237.77166666666665,6.2,715.105,2.0666666666666664,17518.508,11810.5,3454.0,19.3,3665.0,3.6,0.09333333333333334,161.94725
2014-09-30,238.04433333333336,6.066666666666666,714.945,1.8,17804.228,11959.8,3521.1,19.4,3752.4,3.8,0.09000000000000001,161.94725
2014-12-31,236.13199999999998,5.7,750.067,1.2666666666666666,17912.079,12081.6,3551.1,19.4,3789.4,3.7,0.09999999999999999,161.94725
2015-03-31,234.84933333333333,5.533333333333334,828.313,-0.06666666666666667,18063.529,12119.8,3626.4,19.7,3895.9,4.0,0.11,158.45740975
2015-06-30,237.68066666666667,5.433333333333334,781.359,-0.03333333333333333,18279.784,12264.1,3619.7,19.5,3923.8,3.8,0.12333333333333334,158.45740975
2015-09-30,238.30499999999998,5.1000000000000005,766.046,0.13333333333333333,18401.626,12382.5,3546.3,19.0,3941.3,3.3,0.1366666666666667,158.45740975
2015-12-31,237.23299999999998,5.033333333333333,786.573,0.4666666666666666,18435.137,12423.4,3558.9,19.0,3910.7,3.2,0.16,158.45740975
2016-03-31,237.38633333333334,4.8999999999999995,808.121,1.0999999999999999,18525.933,12523.2,3531.2,18.8,3893.2,3.0,0.36000000000000004,159.96411075
2016-06-30,240.1783333333333,4.933333333333334,726.508,1.0333333333333334,18711.702,12665.1,3414.5,18.1,3893.0,2.2,0.37333333333333335,159.96411075
2016-09-30,240.976,4.8999999999999995,713.29,1.1333333333333335,18892.639,12797.1,3423.9,18.0,3908.5,2.1,0.39666666666666667,159.96411075
2016-12-31,241.50466666666668,4.766666666666667,736.869,1.8,19089.379,12922.0,3525.2,18.3,4017.2,2.4,0.45,159.96411075
2017-03-31,243.4143333333333,4.566666666666666,788.971,2.533333333333333,19280.084,13097.3,3624.1,18.6,4026.3,2.7,0.7000000000000001,161.68823175
2017-06-30,244.73733333333334,4.366666666666667,872.081,1.8999999999999997,19438.643,13188.7,3646.8,18.5,4107.7,2.6,0.9500000000000001,161.68823175
2017-09-30,245.708,4.333333333333333,883.02,1.9333333333333333,19692.595,13325.1,3742.5,18.8,4183.2,2.9,1.1533333333333333,161.68823175
2017-12-31,246.61866666666666,4.166666666666667,822.514,2.1,20037.088,13551.4,3799.4,18.8,4279.2,2.9,1.2033333333333334,161.68823175
2018-03-31,248.804,4.033333333333333,880.197,2.233333333333334,20328.553,13745.1,3842.8,18.7,4358.2,2.9,1.4466666666666665,170.62285
2018-06-30,251.37433333333334,3.9333333333333336,939.953,2.733333333333333,20580.912,13891.3,3906.9,18.8,4394.3,2.9,1.7366666666666666,170.62285
2018-09-30,252.197,3.766666666666667,1028.508,2.6333333333333333,20798.73,14002.2,4006.8,19.1,4529.3,3.2,1.9233333333333331,170.62285
2018-12-31,252.052,3.8333333333333335,1137.964,2.1999999999999997,20917.867,14099.2,4046.8,19.1,4539.9,3.2,2.22,170.62285
2019-03-31,252.89666666666668,3.8666666666666667,1309.784,1.6666666666666667,21104.133,14148.0,4241.4,19.7,4615.5,3.8,2.4033333333333333,183.586025
2019-06-30,255.92766666666662,3.6333333333333333,1178.667,1.8,21384.775,14336.8,4159.1,19.2,4665.0,3.2,2.3966666666666665,183.586025
2019-09-30,256.62933333333336,3.6333333333333333,1136.924,1.7333333333333334,21694.282,14517.7,4143.2,19.0,4720.7,2.9,2.19,183.586025
2019-12-31,257.176,3.6,1138.14,2.066666666666667,21902.39,14668.0,4162.3,18.9,4668.3,2.9,1.6433333333333333,183.586025
2020-03-31,258.25466666666665,3.8000000000000003,1504.369,2.1,21706.513,14473.1,4281.4,19.4,4612.2,3.2,1.26,194.5993
2020-06-30,256.86,12.966666666666667,4423.657,0.3333333333333333,19913.143,13168.9,3443.6,17.2,4068.3,-0.8,0.06,194.5993
2020-09-30,259.7663333333333,8.833333333333334,2654.386,1.2333333333333332,21647.64,14456.2,3693.1,17.2,4707.5,0.2,0.09333333333333334,194.5993
2020-12-31,260.36366666666663,6.766666666666667,2131.883,1.2666666666666666,22024.502,14726.7,4329.5,19.3,4871.2,2.9,0.09000000000000001,194.5993
2021-03-31,263.15766666666667,6.2,3889.697,1.8999999999999997,22600.185,15217.7,4198.1,18.3,4854.9,2.0,0.08,200.16805
2021-06-30,269.315,5.933333333333334,1888.618,4.866666666666666,23292.362,15950.9,4001.9,17.1,4836.4,0.8,0.07,200.16805
2021-09-30,273.6266666666666,5.133333333333334,1552.125,5.366666666666667,23828.973,16285.1,4137.0,17.2,5050.0,0.9,0.09000000000000001,200.16805
2021-12-31,277.7796666666667,4.2,1151.639,6.666666666666667,24654.603,16718.2,4465.8,18.0,5430.9,1.8,0.08,200.16805
2022-03-31,284.1226666666667,3.8000000000000003,703.749,7.966666666666666,25029.116,17030.6,4612.7,18.2,5615.0,1.9,0.12,
2022-06-30,292.57199999999995,3.6,552.414,8.666666666666666,25544.273,17415.1,4738.0,18.3,5597.6,1.8,0.77,
2022-09-30,296.41833333333335,3.5666666666666664,612.615,8.333333333333334,25994.639,17684.2,4827.4,18.3,5607.0,1.7,2.19,
2022-12-31,297.50666666666666,3.6,622.428,7.1000000000000005,26408.405,17917.0,4621.4,17.5,5714.1,0.7,3.653333333333333,
2023-03-31,300.61533333333335,3.5,948.202,5.8,26813.601,18269.6,4466.9,16.8,5667.6,-0.2,4.516666666666667,
2023-06-30,304.19966666666664,3.5666666666666664,1040.11,3.966666666666667,27063.012,18419.0,4497.8,16.8,5754.6,-0.2,4.989999999999999,
2023-09-30,306.8353333333333,3.6999999999999997,776.887,3.5333333333333337,,18734.3,,,5894.9,,5.260000000000001,
2023-12-31,,,,,,,,,,,,
